episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
106,6.4000,6.5361,0.5849,0.000229,0,250
107,7.5100,6.5560,0.5820,0.000268,0,250
108,6.2575,6.5710,0.5790,0.000611,0,250
109,7.1575,6.5806,0.5762,0.000463,0,250
110,6.9200,6.6007,0.5733,0.000274,1,250
111,5.9600,6.6240,0.5704,0.000289,0,250
112,6.3275,6.6424,0.5676,0.000846,0,250
113,7.4575,6.6538,0.5647,0.000615,1,250
114,6.1775,6.6699,0.5619,0.000485,0,250
115,6.8900,6.6804,0.5591,0.000251,0,250
116,6.5600,6.6935,0.5563,0.000141,0,250
117,7.4675,6.7052,0.5535,0.000496,0,250
118,7.0400,6.7106,0.5507,0.000357,0,250
119,7.2600,6.7249,0.5480,0.000117,1,250
120,8.3500,6.7319,0.5452,0.000387,1,250
121,6.6700,6.7485,0.5425,0.000689,0,250
122,7.5475,6.7802,0.5398,0.000876,0,250
123,7.2175,6.8296,0.5371,0.000508,0,250
124,7.4600,6.8676,0.5344,0.000744,0,250
125,8.0300,6.9222,0.5318,0.000335,1,250
126,7.4500,6.9876,0.5291,0.000802,0,250
127,7.0400,7.0604,0.5264,0.000663,0,250
128,7.6000,7.1293,0.5238,0.000234,0,250
129,7.3550,7.1960,0.5212,0.000718,0,250
130,7.4700,7.2626,0.5186,0.000399,0,250
131,7.8800,7.3061,0.5160,0.000363,1,250
132,7.3475,7.3546,0.5134,0.000135,0,250
133,7.6500,7.3889,0.5108,0.000369,0,250
134,6.6000,7.4299,0.5083,0.000456,0,250
135,8.1100,7.4495,0.5058,0.000404,0,250
136,7.4300,7.4585,0.5032,0.000545,0,250
137,7.7000,7.4584,0.5007,0.000601,0,250
138,7.3900,7.4692,0.4982,0.000653,0,250
139,7.4375,7.4722,0.4957,0.000411,0,250
140,7.7600,7.4752,0.4932,0.000617,0,250
141,7.5875,7.4898,0.4908,0.000469,0,250
142,7.7575,7.4895,0.4883,0.000307,0,250
